Date, Curreny, Rate
12/10/17,AUD,1.342916
12/10/17,BGN,1.192313
12/10/17,BRL,3.301415
12/10/17,CAD,1.465016
12/10/17,CHF,0.891819
12/10/17,CLP,653.989569
12/10/17,CNY,6.615961
12/10/17,CZK,22.539047
12/10/17,DKK,6.291741
12/10/17,EUR,0.891163
12/10/17,GBP,0.813279
12/10/17,HKD,7.119197
12/10/17,HUF,271.161136
12/10/17,IDR,13551.95367
12/10/17,ILS,3.745723
12/10/17,INR,65.094153
12/10/17,JPY,111.507219
12/10/17,KRW,1089.923172
12/10/17,MYR,4.173119
12/10/17,MXN,18.163991
12/10/17,NOK,8.630951
12/10/17,NZD,1.403162
12/10/17,PHP,53.013007
12/10/17,PLN,3.861116
12/10/17,RUB,58.487187
12/10/17,SAR,3.810713
12/10/17,SEK,8.492195
12/10/17,SGD,1.311217
12/10/17,THB,32.711925
12/10/17,ZAR,13.572971
12/9/17,AUD,1.242916
12/9/17,BGN,1.752313
12/9/17,BRL,3.201418
12/9/17,CAD,1.36509
12/9/17,CHF,0.990017
12/9/17,CLP,655.989569
12/9/17,CNY,6.915369
12/9/17,CZK,22.510041
12/9/17,DKK,6.911749
12/9/17,EUR,0.831761
12/9/17,GBP,0.79327
12/9/17,HKD,7.71915
12/9/17,HUF,268.961136
12/9/17,IDR,13541.35367
12/9/17,ILS,3.345721
12/9/17,INR,63.994153
12/9/17,JPY,111.907299
12/9/17,KRW,1099.023078
12/9/17,MYR,4.970115
12/9/17,MXN,18.967991
12/9/17,NOK,8.230451
12/9/17,NZD,1.30417
12/9/17,PHP,52.093007
12/9/17,PLN,3.761916
12/9/17,RUB,58.987087
12/9/17,SAR,3.410712
12/9/17,SEK,8.90219
12/9/17,SGD,1.209219
12/9/17,THB,33.019929
12/9/17,ZAR,13.112971
12/8/17,AUD,1.342116
12/8/17,BGN,1.652313
12/8/17,BRL,3.231318
12/8/17,CAD,1.26509
12/8/17,CHF,0.890017
12/8/17,CLP,653.989569
12/8/17,CNY,6.61536
12/8/17,CZK,21.511741
12/8/17,DKK,6.311749
12/8/17,EUR,0.839761
12/8/17,GBP,0.74327
12/8/17,HKD,7.81115
12/8/17,HUF,268.161136
12/8/17,IDR,13561.35367
12/8/17,ILS,3.315721
12/8/17,INR,64.954153
12/8/17,JPY,112.307299
12/8/17,KRW,1098.923078
12/8/17,MYR,4.070115
12/8/17,MXN,18.467991
12/8/17,NOK,8.280451
12/8/17,NZD,1.39417
12/8/17,PHP,51.793007
12/8/17,PLN,3.461916
12/8/17,RUB,58.988085
12/8/17,SAR,3.490712
12/8/17,SEK,8.132199
12/8/17,SGD,1.309213
12/8/17,THB,32.019929
12/8/17,ZAR,14.112071
12/7/17,AUD,1.32981
12/7/17,BGN,1.658927
12/7/17,BRL,3.299085
12/7/17,CAD,1.28559
12/7/17,CHF,0.992121
12/7/17,CLP,654.353162
12/7/17,CNY,6.619266
12/7/17,CZK,21.686906
12/7/17,DKK,6.31207
12/7/17,EUR,0.848196
12/7/17,GBP,0.745999
12/7/17,HKD,7.808249
12/7/17,HUF,267.204648
12/7/17,IDR,13546.25271
12/7/17,ILS,3.515646
12/7/17,INR,64.575401
12/7/17,JPY,112.690422
12/7/17,KRW,1092.225807
12/7/17,MYR,4.090044
12/7/17,MXN,18.952277
12/7/17,NOK,8.287709
12/7/17,NZD,1.461822
12/7/17,PHP,50.622328
12/7/17,PLN,3.573524
12/7/17,RUB,3.573524
12/7/17,SAR,3.75
12/7/17,SEK,8.46519
12/7/17,SGD,1.350363
12/7/17,THB,32.629223
12/7/17,ZAR,13.672962
12/6/17,AUD,1.322017
12/6/17,BGN,1.657889
12/6/17,BRL,3.233317
12/6/17,CAD,1.279096
12/6/17,CHF,0.990003
12/6/17,CLP,653.189569
12/6/17,CNY,6.61596
12/6/17,CZK,21.711745
12/6/17,DKK,6.30794
12/6/17,EUR,0.847665
12/6/17,GBP,0.74747
12/6/17,HKD,7.812851
12/6/17,HUF,266.464436
12/6/17,IDR,13540.35389
12/6/17,ILS,3.515521
12/6/17,INR,64.554753
12/6/17,JPY,112.247293
12/6/17,KRW,1095.723978
12/6/17,MYR,4.074195
12/6/17,MXN,18.877279
12/6/17,NOK,8.280452
12/6/17,NZD,1.454152
12/6/17,PHP,50.723117
12/6/17,PLN,3.571516
12/6/17,RUB,59.189885
12/6/17,SAR,3.75
12/6/17,SEK,8.432702
12/6/17,SGD,1.349293
12/6/17,THB,32.61292
12/6/17,ZAR,13.512511
12/5/17,AUD,1.314837
12/5/17,BGN,1.654638
12/5/17,BRL,3.235468
12/5/17,CAD,1.269041
12/5/17,CHF,0.986702
12/5/17,CLP,654.074671
12/5/17,CNY,6.619329
12/5/17,CZK,21.708023
12/5/17,DKK,6.295759
12/5/17,EUR,0.846003
12/5/17,GBP,0.743311
12/5/17,HKD,7.81468
12/5/17,HUF,265.705401
12/5/17,IDR,13524.50057
12/5/17,ILS,3.502321
12/5/17,INR,64.385915
12/5/17,JPY,112.746637
12/5/17,KRW,1086.762751
12/5/17,MYR,4.063088
12/5/17,MXN,18.718767
12/5/17,NOK,8.284959
12/5/17,NZD,1.453979
12/5/17,PHP,50.652141
12/5/17,PLN,50.652141
12/5/17,RUB,58.714301
12/5/17,SAR,3.75
12/5/17,SEK,8.37839
12/5/17,SGD,1.34784
12/5/17,THB,32.618787
12/5/17,ZAR,13.468997
12/4/17,AUD,1.316228
12/4/17,BGN,1.650036
12/4/17,BRL,3.250085
12/4/17,CAD,1.269692
12/4/17,CHF,0.985708
12/4/17,CLP,648.395576
12/4/17,CNY,6.619521
12/4/17,CZK,21.596476
12/4/17,DKK,6.279965
12/4/17,EUR,0.843896
12/4/17,GBP,0.742812
12/4/17,HKD,7.817365
12/4/17,HUF,264.762396
12/4/17,IDR,13515.14123
12/4/17,ILS,3.491805
12/4/17,INR,64.37813
12/4/17,JPY,112.791055
12/4/17,KRW,1085.455386
12/4/17,MYR,4.067096
12/4/17,MXN,18.659541
12/4/17,NOK,8.331546
12/4/17,NZD,1.460668
12/4/17,PHP,50.689188
12/4/17,PLN,3.548857
12/4/17,RUB,58.87233
12/4/17,SAR,3.750175
12/4/17,SEK,8.424521
12/4/17,SGD,1.348755
